Day,Ground_Truth,MRI_Measurement,Mechanistic_Prediction,Digital_Twin_Estimate,Kalman_Gain,Relative_Error_Percent,Decision
0,3.1127033607501797,3.117901016635148,3.101153543610692,3.1178943865983215,0.9996041171813144,0.5400401105247091,CONTINUE
1,3.1161066523795204,3.1317431098150665,3.1039546180197504,3.1307138913245023,0.9629624199058664,0.8952608918310981,CONTINUE
2,2.9740426352639213,2.9493036210463597,2.974023351996065,2.9502204242731245,0.9629120871651058,0.8311881926923778,CONTINUE
3,2.7616541950052294,2.7352450627435436,2.7287444703899473,2.7350039688909,0.9629120179316233,0.2382264966227266,CONTINUE
4,2.5174105793328385,2.5278494106451763,2.488653117695121,2.526395699231365,0.9629120178363914,1.5750002550117221,CONTINUE
5,2.292823619421768,2.2987633128864315,2.288111403309899,2.298368255054047,0.9629120178362603,0.4655328215717048,CONTINUE
6,2.1147109559403057,2.1197208129472234,2.104668465753251,2.119162551762971,0.9629120178362601,0.7151885172843773,CONTINUE
7,1.9525895851902297,1.9595185493801692,1.9462536450873569,1.9590265808463536,0.9629120178362601,0.6815609222515785,CONTINUE
8,1.7717782303105747,1.758177735879005,1.7749878943544248,1.758801190736711,0.9629120178362601,0.9470576407245785,CONTINUE
9,1.5959849804640291,1.6006300544072491,1.5796958375269223,1.5998536465449797,0.9629120178362601,1.3252055479933518,CONTINUE
10,1.4266069384147049,1.4324683878806785,1.428513780855336,1.432321719485858,0.9629120178362601,0.2768336629538562,CONTINUE
11,1.2695952024695587,1.2553081741090313,1.27381763117508,1.2559946525225574,0.9629120178362601,1.4530696241795573,CONTINUE
12,1.1293446588676292,1.1666601490905244,1.1157897765776863,1.1647734696221055,0.9629120178362601,4.5591359215412455,CONTINUE
13,1.0100394849557635,1.0195161433739992,1.0397245930606633,1.020265633995535,0.9629120178362601,1.9436348646112152,CONTINUE
14,0.9070114307663681,0.8831853608223151,0.9135208223223302,0.8843104418773565,0.9629120178362601,3.320719217203723,CONTINUE
15,0.8111753278516518,0.8243064000243284,0.7881149315399367,0.8229641314866998,0.9629120178362601,4.5921561736782985,CONTINUE
16,0.7213992627026938,0.7019056292981474,0.7310115292250213,0.7029851083954949,0.9629120178362601,3.9815924596607184,CONTINUE
17,0.6400825515729665,0.6558242436478154,0.6230020141370983,0.6546069333851477,0.9629120178362601,5.2683986192529755,CONTINUE
18,0.5667488953521012,0.5899208069322492,0.5791409224318904,0.5895210027681728,0.9629120178362601,1.8613577598855642,CONTINUE
19,0.5012474532381634,0.48483380687112926,0.521337039633243,0.4861876381167294,0.9629120178362601,7.001849089370952,CONTINUE
20,0.44464501885681507,0.4639125414417015,0.4312359606304344,0.46270063299540126,0.9629120178362601,7.577424842653759,CONTINUE
21,0.3954487902318921,0.4037044087706221,0.41137438060530934,0.40398887254922333,0.9629120178362601,1.8644748424540736,CONTINUE
22,0.3508847827733914,0.3673259859732812,0.358298377746169,0.3669911702003728,0.9629120178362601,2.5195783145598427,CONTINUE
23,0.31055898834258594,0.3484948479956649,0.3248984843299291,0.34761970648090096,0.9629120178362601,7.2626881330028095,CONTINUE
